S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency,State Code,Constituency Number
7.0,RAFIKUL ISLAM,Independent,4064,1,4065,0.26,11 - Murshidabad (West Bengal),25,11
8.0,MAHAFUJUL ALAM,Socialist Unity Centre Of India (COMMUNIST),3423,3,3426,0.22,11 - Murshidabad (West Bengal),25,11
9.0,MD TAIEDUL ISLAM,Social Democratic Party Of India,3291,2,3293,0.21,11 - Murshidabad (West Bengal),25,11
10.0,DHANANJOY SARKAR,Independent,1535,4,1539,0.1,11 - Murshidabad (West Bengal),25,11
11.0,KRISHNA PROSAD BISWAS,Independent,1197,9,1206,0.08,11 - Murshidabad (West Bengal),25,11
12.0,NOTA,None of the Above,13249,21,13270,0.86,11 - Murshidabad (West Bengal),25,11
,Total,,1539216,2343,1541559,,11 - Murshidabad (West Bengal),25,11
1.0,MAHUA MOITRA,All India Trinamool Congress,624711,4078,628789,44.1,12 - Krishnanagar (West Bengal),25,12
2.0,AMRITA ROY,Bharatiya Janata Party,567628,4456,572084,40.13,12 - Krishnanagar (West Bengal),25,12
3.0,S.M. SADI,Communist Party of India (Marxist),179063,1138,180201,12.64,12 - Krishnanagar (West Bengal),25,12
4.0,SANJIT BISWAS,Independent,8660,11,8671,0.61,12 - Krishnanagar (West Bengal),25,12
5.0,SOURAV HELA,Independent,5061,4,5065,0.36,12 - Krishnanagar (West Bengal),25,12
6.0,NEMAI BISWAS,Independent,5047,22,5069,0.36,12 - Krishnanagar (West Bengal),25,12
7.0,AMAL CHANDRA SARKAR,Bahujan Samaj Party,5045,55,5100,0.36,12 - Krishnanagar (West Bengal),25,12
8.0,AFROJA KHATUN MONDAL,All India Secular Front,4284,14,4298,0.3,12 - Krishnanagar (West Bengal),25,12
9.0,ISMAT ARA MONDAL,Socialist Unity Centre Of India (COMMUNIST),3603,19,3622,0.25,12 - Krishnanagar (West Bengal),25,12
10.0,MD. MUKTAR SHAIKH,Independent,3287,7,3294,0.23,12 - Krishnanagar (West Bengal),25,12
11.0,ALIK KUMAR KUNDU,Independent,2699,9,2708,0.19,12 - Krishnanagar (West Bengal),25,12
12.0,NOTA,None of the Above,6754,57,6811,0.48,12 - Krishnanagar (West Bengal),25,12
,Total,,1415842,9870,1425712,,12 - Krishnanagar (West Bengal),25,12
1.0,JAGANNATH SARKAR,Bharatiya Janata Party,778046,4350,782396,50.78,13 - Ranaghat (West Bengal),25,13
2.0,MUKUT MANI ADHIKARI,All India Trinamool Congress,592276,3221,595497,38.65,13 - Ranaghat (West Bengal),25,13
3.0,ALAKESH DAS,Communist Party of India (Marxist),122970,840,123810,8.04,13 - Ranaghat (West Bengal),25,13
4.0,BIPLAB BISWAS,Bahujan Samaj Party,9319,73,9392,0.61,13 - Ranaghat (West Bengal),25,13
5.0,PARESH HALDAR,Socialist Unity Centre Of India (COMMUNIST),8223,16,8239,0.53,13 - Ranaghat (West Bengal),25,13
6.0,JAGANNATH SARKAR,Independent,5831,30,5861,0.38,13 - Ranaghat (West Bengal),25,13
7.0,SHYAMAL KUMAR MALLICK,Independent,5533,11,5544,0.36,13 - Ranaghat (West Bengal),25,13
8.0,NOTA,None of the Above,9798,95,9893,0.64,13 - Ranaghat (West Bengal),25,13
,Total,,1531996,8636,1540632,,13 - Ranaghat (West Bengal),25,13
1.0,SHANTANU THAKUR,Bharatiya Janata Party,716952,2553,719505,48.19,14 - Bangaon (West Bengal),25,14
2.0,BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS,All India Trinamool Congress,643653,2159,645812,43.25,14 - Bangaon (West Bengal),25,14
3.0,PRADIPKUMAR BISWAS,Indian National Congress,64859,317,65176,4.37,14 - Bangaon (West Bengal),25,14
4.0,DIPAK MAJUMDAR,All India Secular Front,19199,17,19216,1.29,14 - Bangaon (West Bengal),25,14
5.0,SUJATA BAIRAGI,Independent,9649,4,9653,0.65,14 - Bangaon (West Bengal),25,14
6.0,JASHAJIT SARKHEL,Independent,7829,4,7833,0.52,14 - Bangaon (West Bengal),25,14
