S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency,State Code,Constituency Number
1.0,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,471470,5535,477005,40.96,1 - Araku (ST) (Andhra Pradesh),1,1
2.0,KOTHAPALLI GEETHA,Bharatiya Janata Party,417113,9312,426425,36.62,1 - Araku (ST) (Andhra Pradesh),1,1
3.0,APPALANARASA PACHIPENTA,Communist Party of India (Marxist),119016,4113,123129,10.57,1 - Araku (ST) (Andhra Pradesh),1,1
4.0,AVASHYA LAHARI . VARAM,Bahujan Samaj Party,24858,892,25750,2.21,1 - Araku (ST) (Andhra Pradesh),1,1
5.0,SAMAREDDY BALAKRISHNA,Independent,9493,42,9535,0.82,1 - Araku (ST) (Andhra Pradesh),1,1
6.0,NIMMAKA JAYARAJU,Independent,8798,664,9462,0.81,1 - Araku (ST) (Andhra Pradesh),1,1
7.0,ATHIDHI,Independent,8121,15,8136,0.7,1 - Araku (ST) (Andhra Pradesh),1,1
8.0,CHANTI BADNAINA,Jai Bharat National Party,7205,47,7252,0.62,1 - Araku (ST) (Andhra Pradesh),1,1
9.0,MOTTADAM . RAJABABU,Bharat Adivasi Party,6370,396,6766,0.58,1 - Araku (ST) (Andhra Pradesh),1,1
10.0,RANJITH KUMAR PALAKA,Independent,6000,47,6047,0.52,1 - Araku (ST) (Andhra Pradesh),1,1
11.0,RAMBABU JALLI,Telugu Rajadhikara Samiti Party,4933,26,4959,0.43,1 - Araku (ST) (Andhra Pradesh),1,1
12.0,MANDALA GIRIDHARA RAO,Independent,4931,36,4967,0.43,1 - Araku (ST) (Andhra Pradesh),1,1
13.0,VUYAKA NIREEKSHAN (V. CHENCHU),India Praja Bandhu Party,4500,42,4542,0.39,1 - Araku (ST) (Andhra Pradesh),1,1
14.0,NOTA,None of the Above,50205,265,50470,4.33,1 - Araku (ST) (Andhra Pradesh),1,1
,Total,,1143013,21432,1164445,,1 - Araku (ST) (Andhra Pradesh),1,1
1.0,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,734501,19827,754328,61.05,2 - Srikakulam (Andhra Pradesh),1,2
2.0,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,420394,6033,426427,34.51,2 - Srikakulam (Andhra Pradesh),1,2
3.0,PEDADA PARAMESWARA RAO,Indian National Congress,6724,448,7172,0.58,2 - Srikakulam (Andhra Pradesh),1,2
4.0,SANAPALA SRAVAN KUMAR,Independent,5950,8,5958,0.48,2 - Srikakulam (Andhra Pradesh),1,2
5.0,NAIDUGARI RAJASEKHAR,Bahujan Samaj Party,4661,81,4742,0.38,2 - Srikakulam (Andhra Pradesh),1,2
6.0,VABA YOGESWARA RAO,Independent,3472,126,3598,0.29,2 - Srikakulam (Andhra Pradesh),1,2
7.0,BETHA VIVEKANANDA MAHARAJ,Independent,2523,13,2536,0.21,2 - Srikakulam (Andhra Pradesh),1,2
8.0,YEDDU LAKSHMINARAYANA,Independent,1598,7,1605,0.13,2 - Srikakulam (Andhra Pradesh),1,2
9.0,BORUBADRA CHANDRAKALA,Bharatha Chaitanya Yuvajana Party,1315,42,1357,0.11,2 - Srikakulam (Andhra Pradesh),1,2
10.0,IPPILI SEETHARAJU,Jai Bharat National Party,1080,50,1130,0.09,2 - Srikakulam (Andhra Pradesh),1,2
11.0,KAYA DURGARAO,Navarang Congress Party,811,7,818,0.07,2 - Srikakulam (Andhra Pradesh),1,2
12.0,CHELLURI DANIYAL,Independent,796,20,816,0.07,2 - Srikakulam (Andhra Pradesh),1,2
13.0,BOMMALI TIRUPATI RAO,Pyramid Party of India,589,5,594,0.05,2 - Srikakulam (Andhra Pradesh),1,2
14.0,NOTA,None of the Above,24498,107,24605,1.99,2 - Srikakulam (Andhra Pradesh),1,2
,Total,,1208912,26774,1235686,,2 - Srikakulam (Andhra Pradesh),1,2
1.0,APPALANAIDU KALISETTI,Telugu Desam,729284,13829,743113,57.2,3 - Vizianagaram (Andhra Pradesh),1,3
2.0,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,487691,6071,493762,38.0,3 - Vizianagaram (Andhra Pradesh),1,3
3.0,BOBBILI SRINU,Indian National Congress,10270,353,10623,0.82,3 - Vizianagaram (Andhra Pradesh),1,3
4.0,PEERUBANDI PRAKASH RAO,Bahujan Samaj Party,7985,53,8038,0.62,3 - Vizianagaram (Andhra Pradesh),1,3
5.0,VELURI VENKATA TRINADHARAO,Independent,4146,6,4152,0.32,3 - Vizianagaram (Andhra Pradesh),1,3
6.0,ALLU SRIRAMULU,Independent,3396,5,3401,0.26,3 - Vizianagaram (Andhra Pradesh),1,3
7.0,SIYYADULA YELLA RAO,Independent,3105,2,3107,0.24,3 - Vizianagaram (Andhra Pradesh),1,3
8.0,SRINIVASA RAO SAMBHANA,Yuga Thulasi Party,1758,3,1761,0.14,3 - Vizianagaram (Andhra Pradesh),1,3
9.0,MARISERLA KRISHNAMURTHY NAIDU,Independent,1617,12,1629,0.13,3 - Vizianagaram (Andhra Pradesh),1,3
10.0,VANGAPANDU MAHESWARA RAO,Naba Bharata Nirmana Seva Party,1544,9,1553,0.12,3 - Vizianagaram (Andhra Pradesh),1,3
11.0,CHINNAM ARUNA KUMAR,Jaibhim Rao Bharat Party,1401,10,1411,0.11,3 - Vizianagaram (Andhra Pradesh),1,3
12.0,ATCHIYYA NAIDU SAMIREDDY,Samajwadi Party,1059,11,1070,0.08,3 - Vizianagaram (Andhra Pradesh),1,3
13.0,ADINARAYANA TADDI,Independent,855,1,856,0.07,3 - Vizianagaram (Andhra Pradesh),1,3
14.0,P V A ANANDA SAGAR,Independent,787,4,791,0.06,3 - Vizianagaram (Andhra Pradesh),1,3
15.0,SAKHINETI ANANTHA RAJU,Pyramid Party of India,715,10,725,0.06,3 - Vizianagaram (Andhra Pradesh),1,3
16.0,NOTA,None of the Above,23097,153,23250,1.79,3 - Vizianagaram (Andhra Pradesh),1,3
,Total,,1278710,20532,1299242,,3 - Vizianagaram (Andhra Pradesh),1,3
1.0,SRIBHARAT MATHUKUMILI,Telugu Desam,893884,13583,907467,65.42,4 - Visakhapatnam (Andhra Pradesh),1,4
2.0,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,397821,5399,403220,29.07,4 - Visakhapatnam (Andhra Pradesh),1,4
3.0,P. SATYA REDDY,Indian National Congress,29430,837,30267,2.18,4 - Visakhapatnam (Andhra Pradesh),1,4
4.0,K.A. PAUL,Praja Shanthi Party,7529,167,7696,0.55,4 - Visakhapatnam (Andhra Pradesh),1,4
5.0,PEDAPENKI SIVA PRASADA RAO,Bahujan Samaj Party,6006,85,6091,0.44,4 - Visakhapatnam (Andhra Pradesh),1,4
6.0,BIKKAVOLU. CHALAMAJI,Navarang Congress Party,4883,1,4884,0.35,4 - Visakhapatnam (Andhra Pradesh),1,4
7.0,V.N. SATYA NARAYANA,Rashtriya Praja Congress (Secular),2534,3,2537,0.18,4 - Visakhapatnam (Andhra Pradesh),1,4
8.0,ARUNA SRI MURALA,Independent,1991,2,1993,0.14,4 - Visakhapatnam (Andhra Pradesh),1,4
9.0,VASUPILLI SURESH,Independent,1931,2,1933,0.14,4 - Visakhapatnam (Andhra Pradesh),1,4
10.0,SONDI KRISHNA.,Independent,1811,7,1818,0.13,4 - Visakhapatnam (Andhra Pradesh),1,4
11.0,ANDUKURI VIJAYA BHASKAR,India Praja Bandhu Party,1098,11,1109,0.08,4 - Visakhapatnam (Andhra Pradesh),1,4
12.0,DR. GANAPATHI KONGARAPU.,Republican Party of India (A),944,6,950,0.07,4 - Visakhapatnam (Andhra Pradesh),1,4
13.0,BANNA. RAMESH,Dalita Bahujana Party,941,7,948,0.07,4 - Visakhapatnam (Andhra Pradesh),1,4
14.0,P. SATYA VANI,Pyramid Party of India,875,7,882,0.06,4 - Visakhapatnam (Andhra Pradesh),1,4
15.0,DURGA PRASAD. GUNTU,Bhartiya Rashtriya Dal,760,7,767,0.06,4 - Visakhapatnam (Andhra Pradesh),1,4
16.0,CHAPPIDI RAMU,Independent,756,1,757,0.05,4 - Visakhapatnam (Andhra Pradesh),1,4
17.0,M.G.M. KHAN,Independent,738,4,742,0.05,4 - Visakhapatnam (Andhra Pradesh),1,4
18.0,SHANKAR DEVARA YADAV,Independent,656,5,661,0.05,4 - Visakhapatnam (Andhra Pradesh),1,4
19.0,VENU MADHAV KARRI,Independent,646,1,647,0.05,4 - Visakhapatnam (Andhra Pradesh),1,4
20.0,DR. ACHUTHA BALAJI YADAV (MURAPALA),Bharatha Chaitanya Yuvajana Party,628,10,638,0.05,4 - Visakhapatnam (Andhra Pradesh),1,4
21.0,THOTA VENKATA SAI MUKUND,Praja Prasthanam Party,628,5,633,0.05,4 - Visakhapatnam (Andhra Pradesh),1,4
22.0,PIDIDHI APPARAO,Independent,576,4,580,0.04,4 - Visakhapatnam (Andhra Pradesh),1,4
23.0,G.A.N. ANAND,Independent,543,-,543,0.04,4 - Visakhapatnam (Andhra Pradesh),1,4
24.0,VADDI. HARI GANESH,Independent,518,2,520,0.04,4 - Visakhapatnam (Andhra Pradesh),1,4
25.0,JANARDHAN PONNADA.,Independent,499,1,500,0.04,4 - Visakhapatnam (Andhra Pradesh),1,4
26.0,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),Jai Maha Bharath Party,494,6,500,0.04,4 - Visakhapatnam (Andhra Pradesh),1,4
27.0,JALADI VIJAYA KUMARI,Samajwadi Party,463,3,466,0.03,4 - Visakhapatnam (Andhra Pradesh),1,4
28.0,CHINTADA SURYAM,Naba Bharata Nirmana Seva Party,443,5,448,0.03,4 - Visakhapatnam (Andhra Pradesh),1,4
29.0,GANDIKOTA RAJESH,Navataram Party,392,1,393,0.03,4 - Visakhapatnam (Andhra Pradesh),1,4
30.0,KOLLI NAGA RAJU,Independent,322,7,329,0.02,4 - Visakhapatnam (Andhra Pradesh),1,4
31.0,METTA RAMA RAO,Independent,320,6,326,0.02,4 - Visakhapatnam (Andhra Pradesh),1,4
32.0,LAGUDU. GOVINDA RAO,Independent,293,1,294,0.02,4 - Visakhapatnam (Andhra Pradesh),1,4
33.0,MALLA SRAVANI,Independent,271,2,273,0.02,4 - Visakhapatnam (Andhra Pradesh),1,4
34.0,NOTA,None of the Above,5171,142,5313,0.38,4 - Visakhapatnam (Andhra Pradesh),1,4
,Total,,1366795,20330,1387125,,4 - Visakhapatnam (Andhra Pradesh),1,4
1.0,C.M.RAMESH,Bharatiya Janata Party,750027,12042,762069,57.5,5 - Anakapalle (Andhra Pradesh),1,5
2.0,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,459762,5777,465539,35.13,5 - Anakapalle (Andhra Pradesh),1,5
3.0,VEGI VENKATESH,Indian National Congress,24833,818,25651,1.94,5 - Anakapalle (Andhra Pradesh),1,5
4.0,PALAKA SREERAMA MURTHY,Bahujan Samaj Party,19082,75,19157,1.45,5 - Anakapalle (Andhra Pradesh),1,5
5.0,VANKAYALA RAMACHANDRA RAO,Independent,4001,1,4002,0.3,5 - Anakapalle (Andhra Pradesh),1,5
6.0,LOVARAJU SIDDHA,Independent,3845,7,3852,0.29,5 - Anakapalle (Andhra Pradesh),1,5
7.0,KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,3549,8,3557,0.27,5 - Anakapalle (Andhra Pradesh),1,5
8.0,GARA SURYA RAO,Independent,3116,8,3124,0.24,5 - Anakapalle (Andhra Pradesh),1,5
9.0,APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party,2589,30,2619,0.2,5 - Anakapalle (Andhra Pradesh),1,5
10.0,NAGESWARA RAO PETLA,Independent,2179,5,2184,0.16,5 - Anakapalle (Andhra Pradesh),1,5
11.0,ADARI SARAT CHANDRA,Jai Bharat National Party,1886,27,1913,0.14,5 - Anakapalle (Andhra Pradesh),1,5
12.0,VIJAYA LAKSHMI KARRI,Pyramid Party of India,1578,13,1591,0.12,5 - Anakapalle (Andhra Pradesh),1,5
13.0,DR. THUMMAPALA HARI SHANKAR,Independent,1567,9,1576,0.12,5 - Anakapalle (Andhra Pradesh),1,5
14.0,JUNNURI J SRINIVAS,Independent,1195,6,1201,0.09,5 - Anakapalle (Andhra Pradesh),1,5
15.0,APPALANAIDU TUMMAGUNTA,Independent,1055,7,1062,0.08,5 - Anakapalle (Andhra Pradesh),1,5
16.0,NOTA,None of the Above,26084,151,26235,1.98,5 - Anakapalle (Andhra Pradesh),1,5
,Total,,1306348,18984,1325332,,5 - Anakapalle (Andhra Pradesh),1,5
1.0,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),Janasena Party,718971,10728,729699,54.87,6 - Kakinada (Andhra Pradesh),1,6
2.0,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,495188,5020,500208,37.62,6 - Kakinada (Andhra Pradesh),1,6
3.0,MALLIPUDI MANGAPATI PALLAM RAJU,Indian National Congress,20258,851,21109,1.59,6 - Kakinada (Andhra Pradesh),1,6
4.0,UDAY,Navarang Congress Party,15578,125,15703,1.18,6 - Kakinada (Andhra Pradesh),1,6
5.0,KANDREGULA NARASIMHAM,Bahujan Samaj Party,11916,63,11979,0.9,6 - Kakinada (Andhra Pradesh),1,6
6.0,DR ANUSHA YADAV,Bharatha Chaitanya Yuvajana Party,9818,36,9854,0.74,6 - Kakinada (Andhra Pradesh),1,6
7.0,TANGELLA SRINIVASU,Jatiya Jana Sena Party,6516,43,6559,0.49,6 - Kakinada (Andhra Pradesh),1,6
8.0,YEDIDA VARA PRASAD KUMAR,Republican Party of India (A),3924,3,3927,0.3,6 - Kakinada (Andhra Pradesh),1,6
9.0,BUGATHA BANGARRAO,Communist Party of India (Marxist-Leninist) (Liberation),2816,7,2823,0.21,6 - Kakinada (Andhra Pradesh),1,6
10.0,SUDHA VEERA GANESH,Independent,2645,2,2647,0.2,6 - Kakinada (Andhra Pradesh),1,6
11.0,BHAVANI SANKAR PRASAD MERLA,Independent,1963,6,1969,0.15,6 - Kakinada (Andhra Pradesh),1,6
12.0,YENUGUPALLI KRISHNA,Jaibhim Rao Bharat Party,1762,18,1780,0.13,6 - Kakinada (Andhra Pradesh),1,6
13.0,BODDETI APPARAO,Independent,1687,-,1687,0.13,6 - Kakinada (Andhra Pradesh),1,6
14.0,NEELAKANTAM DONAM,Independent,1401,11,1412,0.11,6 - Kakinada (Andhra Pradesh),1,6
15.0,PASUPULETI S.V.S.BHUSHANAM,Independent,1222,5,1227,0.09,6 - Kakinada (Andhra Pradesh),1,6
16.0,NOTA,None of the Above,17105,115,17220,1.29,6 - Kakinada (Andhra Pradesh),1,6
,Total,,1312770,17033,1329803,,6 - Kakinada (Andhra Pradesh),1,6
1.0,G M HARISH (BALAYOGI),Telugu Desam,786149,10832,796981,61.25,7 - Amalapuram (SC) (Andhra Pradesh),1,7
2.0,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,450362,4423,454785,34.95,7 - Amalapuram (SC) (Andhra Pradesh),1,7
3.0,GOUTHAM JANGA,Indian National Congress,14523,559,15082,1.16,7 - Amalapuram (SC) (Andhra Pradesh),1,7
4.0,DORABABU YALLA,Bahujan Samaj Party,5202,186,5388,0.41,7 - Amalapuram (SC) (Andhra Pradesh),1,7
5.0,KATRU NAGA BABU,Telugu Nava Garjana Party,3736,5,3741,0.29,7 - Amalapuram (SC) (Andhra Pradesh),1,7
6.0,VADDI LALITH KUMAR,Independent,2974,3,2977,0.23,7 - Amalapuram (SC) (Andhra Pradesh),1,7
7.0,MAKEY DAVY PRASAD,Independent,2104,7,2111,0.16,7 - Amalapuram (SC) (Andhra Pradesh),1,7
8.0,GUDE VENKATESWARULU,Independent,1741,4,1745,0.13,7 - Amalapuram (SC) (Andhra Pradesh),1,7
9.0,RAMESH JILLELLA,Jatiya Jana Sena Party,866,6,872,0.07,7 - Amalapuram (SC) (Andhra Pradesh),1,7
10.0,YALANGI RAMESH,Jaibhim Rao Bharat Party,738,2,740,0.06,7 - Amalapuram (SC) (Andhra Pradesh),1,7
11.0,MATHA KRISHNA,Pyramid Party of India,718,1,719,0.06,7 - Amalapuram (SC) (Andhra Pradesh),1,7
12.0,GIDDI JNANA PRAKASA RAO,Republican Party of India,717,9,726,0.06,7 - Amalapuram (SC) (Andhra Pradesh),1,7
13.0,YADLA RAJESH,Liberation Congress Party,628,7,635,0.05,7 - Amalapuram (SC) (Andhra Pradesh),1,7
14.0,KAPA KALYAN,Republican Party of India (A),579,2,581,0.04,7 - Amalapuram (SC) (Andhra Pradesh),1,7
15.0,PATHURI RAMESH,Peoples Party of India (Democratic),502,3,505,0.04,7 - Amalapuram (SC) (Andhra Pradesh),1,7
16.0,NOTA,None of the Above,13418,100,13518,1.04,7 - Amalapuram (SC) (Andhra Pradesh),1,7
,Total,,1284957,16149,1301106,,7 - Amalapuram (SC) (Andhra Pradesh),1,7
1.0,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,718641,7874,726515,54.82,8 - Rajahmundry (Andhra Pradesh),1,8
2.0,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,483172,4204,487376,36.77,8 - Rajahmundry (Andhra Pradesh),1,8
3.0,GIDUGU RUDRARAJU,Indian National Congress,31441,1067,32508,2.45,8 - Rajahmundry (Andhra Pradesh),1,8
4.0,GANESWARA RAO PARAMATA,Bahujan Samaj Party,20277,132,20409,1.54,8 - Rajahmundry (Andhra Pradesh),1,8
5.0,BATTULA BALARAMAKRISHNA,Navarang Congress Party,16930,78,17008,1.28,8 - Rajahmundry (Andhra Pradesh),1,8
6.0,SALOPANTULA RAGHAVENDRA RAO,Independent,3261,17,3278,0.25,8 - Rajahmundry (Andhra Pradesh),1,8
7.0,DR. MEDISI RATNARAO ALIAS VINAY,Independent,3109,6,3115,0.24,8 - Rajahmundry (Andhra Pradesh),1,8
8.0,MOHANARAO SINGULURI,Jai Bharat National Party,2818,15,2833,0.21,8 - Rajahmundry (Andhra Pradesh),1,8
9.0,MEDA SRINIVASA RAO,Rashtriya Praja Congress (Secular),2422,7,2429,0.18,8 - Rajahmundry (Andhra Pradesh),1,8
10.0,BOMMANABOINA VSR MURTHY,Independent,2173,6,2179,0.16,8 - Rajahmundry (Andhra Pradesh),1,8
11.0,BHANU CHANDAR KURUVELLA,Independent,1955,3,1958,0.15,8 - Rajahmundry (Andhra Pradesh),1,8
12.0,JALLI BALA NAVEENA,Independent,1250,4,1254,0.09,8 - Rajahmundry (Andhra Pradesh),1,8
13.0,NOTA,None of the Above,24302,133,24435,1.84,8 - Rajahmundry (Andhra Pradesh),1,8
,Total,,1311751,13546,1325297,,8 - Rajahmundry (Andhra Pradesh),1,8
1.0,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,699382,7961,707343,57.46,9 - Narsapuram (Andhra Pradesh),1,9
2.0,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,426037,4504,430541,34.98,9 - Narsapuram (Andhra Pradesh),1,9
3.0,K.B.R.NAIDU,Indian National Congress,34298,915,35213,2.86,9 - Narsapuram (Andhra Pradesh),1,9
4.0,PRASANNA KUMAR UNDURTHI,Independent,6350,14,6364,0.52,9 - Narsapuram (Andhra Pradesh),1,9
5.0,MEDAPATI VENKATA VARAHALA REDDY,Independent,5966,3,5969,0.48,9 - Narsapuram (Andhra Pradesh),1,9
6.0,SIRRA RAJU,Bahujan Samaj Party,5945,69,6014,0.49,9 - Narsapuram (Andhra Pradesh),1,9
7.0,BALAGAM NAYAKAR,Independent,5232,8,5240,0.43,9 - Narsapuram (Andhra Pradesh),1,9
8.0,NALLI RAJESH,Independent,4684,-,4684,0.38,9 - Narsapuram (Andhra Pradesh),1,9
9.0,KETHA SREENU,Independent,3140,5,3145,0.26,9 - Narsapuram (Andhra Pradesh),1,9
10.0,OLETY NAGENDRA KRISHNA,Jaibhim Rao Bharat Party,3112,4,3116,0.25,9 - Narsapuram (Andhra Pradesh),1,9
11.0,ADDEPALLI VEERA VENKAT SUBBA RAO,Independent,2781,2,2783,0.23,9 - Narsapuram (Andhra Pradesh),1,9
12.0,ANAND CHANDULAL JASTI,Independent,2726,-,2726,0.22,9 - Narsapuram (Andhra Pradesh),1,9
13.0,GANJI PURNIMA,Republican Party of India (A),1645,4,1649,0.13,9 - Narsapuram (Andhra Pradesh),1,9
14.0,GEDALA LAXMANA RAO,Independent,1525,2,1527,0.12,9 - Narsapuram (Andhra Pradesh),1,9
15.0,ADDANKI DORABABU,Independent,1388,5,1393,0.11,9 - Narsapuram (Andhra Pradesh),1,9
16.0,GOTTUMUKKALA SHIVAJI,Independent,1378,6,1384,0.11,9 - Narsapuram (Andhra Pradesh),1,9
17.0,ADINARAYANA DUPPANAPUDI,Independent,1002,5,1007,0.08,9 - Narsapuram (Andhra Pradesh),1,9
18.0,MANNE LEELA RAMA NARENDRA,Pyramid Party of India,922,8,930,0.08,9 - Narsapuram (Andhra Pradesh),1,9
19.0,RAMA DURGA PRASAD THOLETI,Independent,919,1,920,0.07,9 - Narsapuram (Andhra Pradesh),1,9
20.0,RUKHMINI,Independent,683,3,686,0.06,9 - Narsapuram (Andhra Pradesh),1,9
21.0,ADABALA SIVA,Independent,682,1,683,0.06,9 - Narsapuram (Andhra Pradesh),1,9
22.0,NOTA,None of the Above,7554,123,7677,0.62,9 - Narsapuram (Andhra Pradesh),1,9
,Total,,1217351,13643,1230994,,9 - Narsapuram (Andhra Pradesh),1,9
1.0,PUTTA MAHESH KUMAR,Telugu Desam,737644,8707,746351,54.0,10 - Eluru (Andhra Pradesh),1,10
2.0,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,559318,5176,564494,40.84,10 - Eluru (Andhra Pradesh),1,10
3.0,KAVURI LAVANYA,Indian National Congress,19820,1006,20826,1.51,10 - Eluru (Andhra Pradesh),1,10
4.0,AJAY BABU BODA,Navarang Congress Party,12197,13,12210,0.88,10 - Eluru (Andhra Pradesh),1,10
5.0,NITTA AKHILA DHARANI PAL,Bahujan Samaj Party,6664,68,6732,0.49,10 - Eluru (Andhra Pradesh),1,10
6.0,BOKINALA KOTESWARA RAO,Independent,2253,10,2263,0.16,10 - Eluru (Andhra Pradesh),1,10
7.0,RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi,1523,3,1526,0.11,10 - Eluru (Andhra Pradesh),1,10
8.0,KANDAVALLI JEEVA DEVA DAYAKAR,Independent,1172,8,1180,0.09,10 - Eluru (Andhra Pradesh),1,10
9.0,AGASTEEN KOMMINA,Independent,1001,3,1004,0.07,10 - Eluru (Andhra Pradesh),1,10
10.0,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party,777,9,786,0.06,10 - Eluru (Andhra Pradesh),1,10
11.0,RAJESWARA RAO KONDRU,Bharatheeya Jawan Kisan Party,729,3,732,0.05,10 - Eluru (Andhra Pradesh),1,10
12.0,GODUGUPATI VEERA RAGHAVULU,Pyramid Party of India,710,5,715,0.05,10 - Eluru (Andhra Pradesh),1,10
13.0,BYRABOYINA MALYADRI,Bharatha Chaitanya Yuvajana Party,705,10,715,0.05,10 - Eluru (Andhra Pradesh),1,10
14.0,NOTA,None of the Above,22371,144,22515,1.63,10 - Eluru (Andhra Pradesh),1,10
,Total,,1366884,15165,1382049,,10 - Eluru (Andhra Pradesh),1,10
1.0,BALASHOWRY VALLABHANENI,Janasena Party,712149,12290,724439,55.22,11 - Machilipatnam (Andhra Pradesh),1,11
2.0,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,495211,6049,501260,38.21,11 - Machilipatnam (Andhra Pradesh),1,11
3.0,GOLLU KRISHNA,Indian National Congress,31130,695,31825,2.43,11 - Machilipatnam (Andhra Pradesh),1,11
4.0,BAAL SHOURI CHODABATHINA,Jatiya Jana Sena Party,10518,623,11141,0.85,11 - Machilipatnam (Andhra Pradesh),1,11
5.0,DEVAMANI DEVARAPALLI,Bahujan Samaj Party,9911,117,10028,0.76,11 - Machilipatnam (Andhra Pradesh),1,11
6.0,KOMMARAJU SIVA NARASIMHA RAO,All India Forward Bloc,5245,9,5254,0.4,11 - Machilipatnam (Andhra Pradesh),1,11
7.0,VALLABHANENI NAGA PAVAN KUMAR,Independent,5206,14,5220,0.4,11 - Machilipatnam (Andhra Pradesh),1,11
8.0,MARADANI K R SWAMY,Jai Maha Bharath Party,2206,8,2214,0.17,11 - Machilipatnam (Andhra Pradesh),1,11
9.0,GANDHI DHANEKULA,Independent,1989,2,1991,0.15,11 - Machilipatnam (Andhra Pradesh),1,11
10.0,PAMULA BALA SOWRYAMMA,Independent,1576,6,1582,0.12,11 - Machilipatnam (Andhra Pradesh),1,11
11.0,ANUSHA YERUVA,Independent,1233,2,1235,0.09,11 - Machilipatnam (Andhra Pradesh),1,11
12.0,GUDAVALLI VENKATA KEDARESWARA RAO,Independent,1102,9,1111,0.08,11 - Machilipatnam (Andhra Pradesh),1,11
13.0,JOGI VEERANJANEYULU,Independent,1020,2,1022,0.08,11 - Machilipatnam (Andhra Pradesh),1,11
14.0,DAMODARA RAO GUDAVALLI,Independent,928,2,930,0.07,11 - Machilipatnam (Andhra Pradesh),1,11
15.0,APPARAO ENNETI,Independent,625,1,626,0.05,11 - Machilipatnam (Andhra Pradesh),1,11
16.0,NOTA,None of the Above,12008,118,12126,0.92,11 - Machilipatnam (Andhra Pradesh),1,11
,Total,,1292057,19947,1312004,,11 - Machilipatnam (Andhra Pradesh),1,11
1.0,KESINENI SIVANATH (CHINNI),Telugu Desam,784722,9432,794154,58.21,12 - Vijayawada (Andhra Pradesh),1,12
2.0,KESINENI SRINIVAS (NANI),Yuvajana Sramika Rythu Congress Party,505637,6432,512069,37.53,12 - Vijayawada (Andhra Pradesh),1,12
3.0,BHARGAV VALLURU,Indian National Congress,23498,608,24106,1.77,12 - Vijayawada (Andhra Pradesh),1,12
4.0,KRISHNA KISHORE YANAMANDRA,Navataram Party,7710,168,7878,0.58,12 - Vijayawada (Andhra Pradesh),1,12
5.0,VENKATA ASHOK PAPPURI,Independent,6672,-,6672,0.49,12 - Vijayawada (Andhra Pradesh),1,12
6.0,DEVARAPALLI MALLIKARJUNA RAO (MAHESH),Independent,3199,-,3199,0.23,12 - Vijayawada (Andhra Pradesh),1,12
7.0,MEKA VENKATESWARA RAO,Bahujan Samaj Party,2184,49,2233,0.16,12 - Vijayawada (Andhra Pradesh),1,12
8.0,ANIL KUMAR MADDINENI,Independent,1240,-,1240,0.09,12 - Vijayawada (Andhra Pradesh),1,12
9.0,BARRE SREENIVASARAO (JAI BHEEM SRINIVAS),Telugu Rajadhikara Samiti Party,609,6,615,0.05,12 - Vijayawada (Andhra Pradesh),1,12
10.0,SYED KHAMURUNNISA,Navarang Congress Party,600,1,601,0.04,12 - Vijayawada (Andhra Pradesh),1,12
11.0,CHAGANTIPATI GANGADHAR GANDHI,Pyramid Party of India,486,3,489,0.04,12 - Vijayawada (Andhra Pradesh),1,12
12.0,DATLA LURTHU MERI,Jaibhim Rao Bharat Party,409,8,417,0.03,12 - Vijayawada (Andhra Pradesh),1,12
13.0,PERAM SIVA NAGESWARA RAO,Republican Party of India (Athawale),365,3,368,0.03,12 - Vijayawada (Andhra Pradesh),1,12
14.0,DEVARASETTY RAVEENDRA BABU,Andhra Rastra Praja Samithi,328,3,331,0.02,12 - Vijayawada (Andhra Pradesh),1,12
15.0,GUJJULA LALITHA,Socialist Unity Centre Of India (COMMUNIST),323,4,327,0.02,12 - Vijayawada (Andhra Pradesh),1,12
16.0,N DASARADHA RAMI REDDY,All India Jaihind Party,268,1,269,0.02,12 - Vijayawada (Andhra Pradesh),1,12
